organization_name,country_code,appearance_count,latitude,longitude,geocode_status,geocode_display_name,geocode_source,last_checked_at
AdventHealth Celebration,US,17,28.328187942504883,-81.54113006591797,ok,AdventHealth Celebration,openalex,2026-03-11T20:11:55+00:00
AdventHealth Orlando,US,2,28.574792861938477,-81.36947631835938,ok,AdventHealth Orlando,openalex,2026-03-11T20:01:43+00:00
AdventHealth Tampa,US,2,28.07111167907715,-82.42341613769531,ok,AdventHealth Tampa,openalex,2026-03-11T20:16:06+00:00
Aero Engine Corporation of China (China),CN,1,39.943572998046875,116.28758239746094,ok,Aero Engine Corporation of China (China),,2026-03-12T05:27:17+00:00
Aerospace Center Hospital,CN,4,39.907501220703125,116.39723205566406,ok,Aerospace Center Hospital,openalex,2026-03-12T00:32:38+00:00
Aerospace Information Research Institute,CN,1,40.070899963378906,116.28247833251953,ok,Aerospace Information Research Institute,,2026-03-12T10:57:47+00:00
Affiliated Eye Hospital of Wenzhou Medical College,CN,5,27.999420166015625,120.66681671142578,ok,Affiliated Eye Hospital of Wenzhou Medical College,,2026-03-12T06:21:28+00:00
Affiliated Hospital of Qingdao University,CN,8,36.07022476196289,120.3277816772461,ok,Affiliated Hospital of Qingdao University,openalex,2026-03-11T20:18:23+00:00
Affiliated Zhongshan Hospital of Dalian University,CN,1,38.91647720336914,121.6477279663086,ok,Affiliated Zhongshan Hospital of Dalian University,openalex,2026-03-12T00:46:13+00:00
Agency for Defense Development,KR,7,36.34913,127.38493,ok,Agency for Defense Development,openalex,2026-03-12T00:19:01+00:00
"Agency for Science,Technology and Research",SG,53,1.2896699905395508,103.85006713867188,ok,"Agency for Science, Technology and Research",openalex,2026-03-11T20:27:13+00:00
Agenzia Regionale Sanitaria della Puglia,IT,2,41.11521530151367,16.892860412597656,ok,Agenzia Regionale Sanitaria della Puglia,,2026-03-11T22:41:27+00:00
Agia Olga Hospital,FR,1,38.037893,23.7580006,ok,"Κωνσταντοπούλειο Συγκρότημα - Γενικό Νοσοκομείο Νέας Ιωνίας «Η Αγία Όλγα», Κερασούντος, Σαφράμπολη, Νέα Ιωνία, Δήμος Νέας Ιωνίας, Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 142 34, Ελλάς",,2026-03-12T04:35:34+00:00
Agostino Gemelli University Polyclinic,IT,5,41.891929626464844,12.511329650878906,ok,Agostino Gemelli University Polyclinic,openalex,2026-03-12T00:49:58+00:00
Agricultural Information Institute,CN,5,39.95816421508789,116.3275375366211,ok,Agricultural Information Institute,,2026-03-12T01:56:52+00:00
Agroscope,CH,1,46.76935,7.1063265,ok,"Agroscope Posieux, 4, Route de la Tioleyre, Posieux, Hauterive, Sarine District, Fribourg, 1725, Switzerland",nominatim,2026-03-12T10:58:18+00:00
Ahlia University,BH,2,26.22787094116211,50.58565139770508,ok,Ahlia University,openalex,2026-03-12T04:09:54+00:00
Aichi Cancer Center,JP,5,35.18146896362305,136.90640258789062,ok,Aichi Cancer Center,openalex,2026-03-12T00:43:30+00:00
Aichi Human Service Center,JP,2,35.24761962890625,136.9722900390625,ok,Aichi Human Service Center,openalex,2026-03-12T04:38:05+00:00
Aichi Institute of Technology,JP,6,35.08332824707031,137.14999389648438,ok,Aichi Institute of Technology,openalex,2026-03-12T03:58:54+00:00
Ain Shams University,EG,9,30.07691192626953,31.290681838989258,ok,Ain Shams University,openalex,2026-03-12T00:44:05+00:00
Ain Shams University Hospital,EG,2,30.078338623046875,31.284114837646484,ok,Ain Shams University Hospital,,2026-03-12T06:56:27+00:00
Air Force Engineering University,CN,6,34.273779,109.036171,ok,Air Force Engineering University,wikipedia_wikidata,2026-03-11T23:17:58+00:00
Air Force General Hospital PLA,CN,1,39.923789978027344,116.30028533935547,ok,Air Force General Hospital PLA,openalex,2026-03-12T04:20:35+00:00
Air Force Medical University,CN,7,34.273779,109.036171,ok,Air Force Engineering University,wikipedia_wikidata,2026-03-11T21:00:00+00:00
Airbus (France),FR,3,43.5879615,1.5007095,ok,"Aéro-Club Airbus France Toulouse René Barbaro, Avenue Jean-René Lagasse, Balma, Toulouse, Haute-Garonne, Occitania, Metropolitan France, 31130, France",nominatim,2026-03-12T02:07:46+00:00
Aix-Marseille Université,FR,2,43.29349444444444,5.357841666666666,ok,Aix-Marseille University,wikipedia_wikidata,2026-03-12T02:18:24+00:00
Ajman University,AE,1,25.4127618,55.5063537,ok,"Ajman University, Sheikh Ammar Bin Hummaid Street, Humaidiya 1, Al Jerf, Ajman, Ajman Emirate, United Arab Emirates",nominatim,2026-03-12T10:06:02+00:00
Ajou University,KR,62,37.29111,127.00889,ok,Ajou University,openalex,2026-03-11T20:18:10+00:00
Akhmet Baitursynuly Kostanay Regional University,KZ,2,52.0615626,62.9372689,ok,"Kostanay Region, Kazakhstan",wikidata_search_description_place,2026-03-27T04:14:12+00:00
Akita Prefectural University,JP,11,39.39333333,140.07305556,ok,Akita Prefectural University,wikipedia_wikidata,2026-03-11T23:04:12+00:00
Akita University,JP,2,39.716670989990234,140.11666870117188,ok,Akita University,openalex,2026-03-12T04:40:22+00:00
Al Ain Hospital,AE,1,24.231246948242188,55.73299789428711,ok,Al Ain Hospital,openalex,2026-03-12T00:10:59+00:00
Al Jouf University,SA,1,29.96974,40.20641,ok,Jouf University,openalex,2026-03-12T04:05:33+00:00
Al-Farahidi University,IQ,1,33.2716599,44.3610889,ok,"Al - Farahidi University, Qatr Al Nida Street, محلة 804, حي الجزيرة, Al-Ma'mun Subdistrict, Al-Karkh District, Baghdad, Baghdad Governorate, 10041, Iraq",nominatim,2026-03-12T10:07:03+00:00
Albany Medical Center Hospital,US,2,42.6532796,-73.7771786,ok,"Albany Medical Center Hospital, 43, New Scotland Avenue, Park South, City of Albany, Albany County, New York, 12208, United States",nominatim,2026-03-12T10:33:49+00:00
Albert Einstein College of Medicine,US,2,40.849849700927734,-73.86640930175781,ok,Albert Einstein College of Medicine,openalex,2026-03-11T19:43:54+00:00
Alberta Bone and Joint Health Institute,CA,1,51.06645584106445,-114.13624572753906,ok,Alberta Bone and Joint Health Institute,openalex,2026-03-12T03:36:01+00:00
Alex's Lemonade Stand Foundation,AU,1,40.0075,-75.2342,ok,Alex's Lemonade Stand Foundation,wikidata_search,2026-03-26T23:57:36+00:00
Alfaisal University,SA,1,24.68773078918457,46.72185134887695,ok,Alfaisal University,openalex,2026-03-12T00:57:20+00:00
Algonquin College,CA,2,45.346936111111,-75.759386111111,ok,Algonquin College,wikipedia_wikidata,2026-03-12T01:29:40+00:00
Alibaba Group (China),CN,5,30.29365,120.16142,ok,Alibaba Group (China),openalex,2026-03-12T03:23:31+00:00
Alibaba Group (United States),US,6,37.55870819091797,-122.3250732421875,ok,Alibaba Group (United States),,2026-03-12T08:52:07+00:00
Aligarh Muslim University,IN,1,27.91349,78.07803,ok,Aligarh Muslim University,wikipedia_wikidata,2026-03-12T06:46:59+00:00
All India Institute of Medical Sciences,IN,3,28.62137,77.2148,ok,All India Institute of Medical Sciences,openalex,2026-03-12T00:17:47+00:00
All India Institute of Medical Sciences Bhopal,IN,1,23.25469,77.40289,ok,All India Institute of Medical Sciences Bhopal,openalex,2026-03-12T04:14:48+00:00
Allen Institute,US,2,38.895722222222226,-77.02891666666666,ok,Hudson Institute,wikipedia_wikidata,2026-03-12T05:44:24+00:00
Alliance University,IN,2,13.01268,80.236362,ok,Anna University,wikipedia_wikidata,2026-03-12T08:57:16+00:00
Alma Mater Europaea,SI,1,46.5601809,15.6451354,ok,"Alma Mater Europaea - ECM, 17, Slovenska ulica, Lent, Center, Maribor, 2000, Slovenia",nominatim,2026-03-12T05:55:08+00:00
Alrijne Ziekenhuis,NL,1,52.1733289,4.481837,ok,"Alrijne Ziekenhuis, Dieperpoellaan, Houtkwartier, Leiden, South Holland, Netherlands, 2334 CN, Netherlands",nominatim,2026-03-12T06:00:56+00:00
Altair Engineering (United States),US,3,42.562319,-83.1116915,ok,"Altair Engineering, 1820, East Big Beaver Road, Troy, Oakland County, Michigan, 48083, United States",nominatim,2026-03-12T11:38:40+00:00
Altec (United States),US,1,37.2102851,-93.2325174,ok,"Altec, 3045, East Chestnut Expressway, Cooper Park, Springfield, Greene County, Missouri, 65802, United States",nominatim,2026-03-12T07:56:35+00:00
Amazon (Germany),DE,1,52.3397327,13.5582616,ok,"Logistikzentrum Amazon, Schönefeld, Dahme-Spreewald, Brandenburg, 12529, Germany",nominatim,2026-03-12T08:33:56+00:00
Amazon (United States),US,15,47.60621,-122.33207,ok,Amazon (United States),openalex,2026-03-12T01:08:40+00:00
American Cancer Society,US,1,33.76172637939453,-84.39102935791016,ok,American Cancer Society,openalex,2026-03-12T04:39:28+00:00
American College of Surgeons,US,7,41.8940544128418,-87.62239074707031,ok,American College of Surgeons,openalex,2026-03-12T00:03:13+00:00
American Institute of Aeronautics and Astronautics,US,14,38.9440803527832,-77.32130432128906,ok,American Institute of Aeronautics and Astronautics,openalex,2026-03-12T01:00:51+00:00
American Rock Mechanics Association,US,1,38.82505798339844,-77.072509765625,ok,American Rock Mechanics Association,openalex,2026-03-12T00:51:31+00:00
American Society of Clinical Oncology,US,10,38.83625793457031,-77.24388122558594,ok,American Society of Clinical Oncology,openalex,2026-03-11T20:30:24+00:00
American University of Beirut,LB,19,33.89332,35.50157,ok,American University of Beirut,openalex,2026-03-12T00:00:38+00:00
American University of Sharjah,AE,5,25.337369918823242,55.41205978393555,ok,American University of Sharjah,openalex,2026-03-12T00:06:16+00:00
Ames National Laboratory,US,2,42.03470993041992,-93.61994171142578,ok,Ames National Laboratory,openalex,2026-03-12T03:39:56+00:00
Ames Research Center,US,17,37.386051177978516,-122.08384704589844,ok,Ames Research Center,openalex,2026-03-12T00:02:00+00:00
Amherst College,US,3,42.370833333333,-72.516944444444,ok,Amherst College,wikipedia_wikidata,2026-03-12T05:00:26+00:00
Amirkabir University of Technology,IR,18,35.704345703125,51.40967559814453,ok,Amirkabir University of Technology,openalex,2026-03-12T00:17:10+00:00
Amity University,IN,1,28.58,77.33,ok,Amity University,openalex,2026-03-12T00:51:03+00:00
Amphia Ziekenhuis,NL,8,51.5865592956543,4.7759599685668945,ok,Amphia Ziekenhuis,openalex,2026-03-11T19:50:00+00:00
Amrita Vishwa Vidyapeetham,IN,4,11.00555,76.96612,ok,Amrita Vishwa Vidyapeetham,openalex,2026-03-12T00:02:45+00:00
Amsterdam UMC Location VUmc,NL,1,52.334632,4.8599107,ok,"Amsterdam UMC - locatie VUMC, 1117, De Boelelaan, VU-kwartier, Zuidas, Zuid, Amsterdam, North Holland, Netherlands, 1081 HV, Netherlands",alias->nominatim,2026-03-27T02:42:38+00:00
Amsterdam University Medical Centers,NL,34,52.335,4.859444,ok,VU University Medical Center,wikipedia_wikidata,2026-03-11T21:54:43+00:00
Amsterdam University of Applied Sciences,NL,1,52.345694,4.916167,ok,Amsterdam University of Applied Sciences,wikipedia_wikidata,2026-03-12T06:00:17+00:00
Aneurin Bevan University Health Board,GB,2,51.613399505615234,-2.967139959335327,ok,Aneurin Bevan University Health Board,openalex,2026-03-11T19:46:00+00:00
Anglia Ruskin University,GB,2,52.2,0.11667,ok,Anglia Ruskin University,openalex,2026-03-11T20:20:11+00:00
Anhui Institute of Optics and Fine Mechanics,CN,1,31.908193588256836,117.15845489501953,ok,Anhui Institute of Optics and Fine Mechanics,openalex,2026-03-12T04:26:45+00:00
Anhui Jianzhu University,CN,1,31.74404,117.22368,ok,Anhui Jianzhu University,wikipedia_wikidata,2026-03-12T07:30:57+00:00
Anhui Medical University,CN,28,31.86389,117.28083,ok,Anhui Medical University,openalex,2026-03-12T00:37:49+00:00
Anhui Polytechnic University,CN,1,31.3416889,118.4071013,ok,"Anhui Polytechnic University, 北京中路, Guandou Subdistrict, Wuhu, Jiujiang District, Wuhu, Anhui, 241000, China",nominatim,2026-03-12T11:56:59+00:00
Anhui Science and Technology University,CN,1,32.8781475,117.5545447,ok,"Anhui Science And Technology University, 9号, 东华路, 中都街道, Fucheng, Fengyang County, Chuzhou, Anhui, China",nominatim,2026-03-12T01:53:36+00:00
Anhui University,CN,40,31.2871219,118.372994,ok,Anhui Normal University,wikipedia_wikidata,2026-03-11T21:42:08+00:00
Anhui University of Finance and Economics,CN,3,32.9255,117.39,ok,Anhui University of Finance and Economics,wikipedia_wikidata,2026-03-12T02:19:11+00:00
Anhui University of Technology,CN,11,31.523239135742188,118.6201400756836,ok,Anhui University of Technology,openalex,2026-03-12T01:08:45+00:00
Animalia (Norway),NO,1,59.91273,10.74609,ok,Animalia (Norway),openalex,2026-03-12T03:37:04+00:00
Anjo Kosei Hospital,JP,4,34.940372467041016,137.07777404785156,ok,Anjo Kosei Hospital,openalex,2026-03-11T19:56:48+00:00
Ankara Yıldırım Beyazıt University,TR,3,39.91987,32.85427,ok,Ankara Yıldırım Beyazıt University,openalex,2026-03-11T20:31:32+00:00
Ann Arbor Center for Independent Living,US,2,42.234012603759766,-83.7310562133789,ok,Ann Arbor Center for Independent Living,openalex,2026-03-12T04:26:33+00:00
"Anna University Regional Campus,Coimbatore",IN,2,11.1675,76.94916667,ok,"Anna University Regional Campus, Coimbatore",wikipedia_wikidata,2026-03-12T03:43:32+00:00
Anqing Normal University,CN,7,31.2871219,118.372994,ok,Anhui Normal University,wikipedia_wikidata,2026-03-12T02:45:43+00:00
Anshan Hospital,CN,2,41.1219482421875,122.96063232421875,ok,Anshan Hospital,openalex,2026-03-12T00:20:19+00:00
Antalya Bilim University,IR,2,41.06916666666667,29.01222222222222,ok,Demiroğlu Bilim University,wikipedia_wikidata,2026-03-12T09:23:02+00:00
Anyang University,KR,5,37.391666412353516,126.91972351074219,ok,Anyang University,openalex,2026-03-12T03:51:28+00:00
Aomori University of Health and Welfare,JP,1,40.81412777777778,140.79278888888888,ok,Aomori University of Health and Welfare,wikipedia_wikidata,2026-03-12T07:12:20+00:00
Apple (United States),CA,2,43.578633,-81.6902137,ok,"Apple, Central Huron, Huron County, Ontario, N0M 1G0, Canada",nominatim,2026-03-11T21:29:42+00:00
Applied Materials (United States),US,2,37.377532958984375,-121.97872161865234,ok,Applied Materials (United States),openalex,2026-03-12T04:15:00+00:00
Applied Mathematics (United States),US,7,41.42325973510742,-72.07901000976562,ok,Applied Mathematics (United States),openalex,2026-03-11T20:27:16+00:00
Applied Physical Sciences (United States),US,1,41.3501,-72.07841,ok,Applied Physical Sciences (United States),,2026-03-12T02:23:06+00:00
Applied Research Associates,NZ,1,35.8962817,-78.6505017,ok,"Applied Research Associates, Six Forks Road, Six Forks, Raleigh, Wake County, North Carolina, 27615, United States",,2026-03-12T07:58:42+00:00
Applied Science Private University,JO,1,26.143282,50.614942,ok,Applied Science University (Bahrain),wikipedia_wikidata,2026-03-12T10:08:13+00:00
Applied Science and Technology Research Institute,CN,1,22.424047470092773,114.21282958984375,ok,Applied Science and Technology Research Institute,,2026-03-12T06:39:30+00:00
Aptcore (United Kingdom),GB,1,51.45420837402344,-2.592811107635498,ok,Aptcore (United Kingdom),openalex,2026-03-12T03:59:51+00:00
Aquinas Institute of Theology,CA,2,38.6343,-90.2379,ok,Aquinas Institute of Theology,wikipedia_wikidata,2026-03-12T09:01:06+00:00
Arak University of Technology,IR,1,35.74177634060081,51.506809236677014,ok,Iran University of Science and Technology,wikipedia_wikidata,2026-03-12T11:21:20+00:00
Areté Associates (United States),US,3,34.23945617675781,-118.56302642822266,ok,Areté Associates (United States),openalex,2026-03-12T00:17:45+00:00
Argonne National Laboratory,US,17,41.71829249113786,-87.978865855122,ok,Argonne National Laboratory,wikipedia_wikidata,2026-03-11T21:37:13+00:00
Ariel University,IL,2,32.1065,35.18449,ok,Ariel University,openalex,2026-03-12T00:32:51+00:00
Aristotle University of Thessaloniki,GR,63,40.64360809326172,22.93086051940918,ok,Aristotle University of Thessaloniki,openalex,2026-03-12T00:20:14+00:00
Arizona State University,US,217,33.41477,-111.90931,ok,Arizona State University,openalex,2026-03-11T19:38:25+00:00
Arkansas Tech University,US,1,35.297142028808594,-93.138916015625,ok,Arkansas Tech University,openalex,2026-03-12T01:05:36+00:00
Army Medical University,CN,10,29.53722222,106.44666667,ok,Army Medical University,wikipedia_wikidata,2026-03-11T20:59:44+00:00
Arthrex (United States),US,1,26.26845932006836,-81.79496002197266,ok,Arthrex (United States),openalex,2026-03-11T20:24:46+00:00
Arthur Smith Institute for Urology,US,7,40.756778717041016,-73.70130157470703,ok,Arthur Smith Institute for Urology,openalex,2026-03-11T20:31:30+00:00
Artificial Intelligence in Medicine (Canada),CA,1,43.65040588378906,-79.36351013183594,ok,Artificial Intelligence in Medicine (Canada),openalex,2026-03-12T03:57:26+00:00
Asahi Kasei (Japan),JP,1,36.4640206,139.8434496,ok,"Asahi Kasei, 31, Omocha Danchi, Mibu, Shimotsuga County, Tochigi Prefecture, 321-0202, Japan",nominatim,2026-03-11T22:27:35+00:00
Asahi University,JP,1,35.381744384765625,136.6905517578125,ok,Asahi University,openalex,2026-03-12T04:31:31+00:00
Asan Medical Center,KR,8,37.566,126.9784,ok,Asan Medical Center,openalex,2026-03-12T00:01:06+00:00
Ashoka University,IN,1,28.946714401245117,77.10211181640625,ok,Ashoka University,openalex,2026-03-12T04:14:51+00:00
Asia University,JP,2,35.704917907714844,139.5350341796875,ok,Asia University,openalex,2026-03-12T00:32:46+00:00
Asklepios Fachklinikum Brandenburg,DE,1,52.42313766479492,12.479842185974121,ok,Asklepios Fachklinikum Brandenburg,openalex,2026-03-11T20:05:02+00:00
Asklepios Klinik Barmbek,DE,2,53.60634231567383,10.035774230957031,ok,Asklepios Klinik Barmbek,openalex,2026-03-12T00:56:57+00:00
Asklepios Klinik St. Georg,DE,1,53.55904769897461,10.018019676208496,ok,Asklepios Klinik St. Georg,openalex,2026-03-11T20:27:05+00:00
Assistance Publique – Hôpitaux de Paris,FR,10,48.85341,2.3488,ok,Assistance Publique – Hôpitaux de Paris,openalex,2026-03-11T19:54:11+00:00
Assiut University,DE,1,27.18777778,31.17027778,ok,Assiut University,wikipedia_wikidata,2026-03-11T23:45:29+00:00
Association of Electronic and Information Technologies,ES,3,43.31283187866211,-1.9749900102615356,ok,Association of Electronic and Information Technologies,openalex,2026-03-12T01:07:24+00:00
Aston University,GB,3,52.486,-1.8895,ok,Aston University,wikipedia_wikidata,2026-03-11T21:41:14+00:00
AstraZeneca (Brazil),AU,1,-23.5982864,-46.8634192,ok,"AstraZeneca, Jardim Torino, Granja Viana II Gl. 1 e 2, Cotia, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Brasil",,2026-03-12T00:47:45+00:00
AstraZeneca (Sweden),SE,1,59.56682205200195,17.553089141845703,ok,AstraZeneca (Sweden),openalex,2026-03-12T04:11:22+00:00
AstraZeneca (United Kingdom),GB,1,52.2,0.11667,ok,AstraZeneca (United Kingdom),openalex,2026-03-12T04:11:19+00:00
Astronomy and Space,AU,1,55.7909601,49.1190647,ok,"Кафедра астрономии и космической геодезии, 18 к5, Кремлёвская улица, Вахитовский район, Казань, городской округ Казань, Татарстан, Приволжский федеральный округ, 420008, Россия",,2026-03-12T09:44:44+00:00
At Bristol,GB,2,51.5124673,-2.5510465,ok,"City of Bristol College AEC at Parkway, New Road, Little Stoke, Harry Stoke, Bristol, South Gloucestershire, West of England, England, BS34 8SF, United Kingdom",nominatim,2026-03-11T23:36:14+00:00
Athena Research and Innovation Center In Information Communication & Knowledge Technologies,GR,4,38.05,23.8,ok,Athena Research and Innovation Center In Information Communication & Knowledge Technologies,openalex,2026-03-12T00:41:39+00:00
